x,y,z,t
-7.249861572182967,-2.474470247357026,31.093786328412584,61.14
-6.784391444683489,-2.2564643659060097,30.438982372292614,61.15
-6.345437044091956,-2.096086265498606,29.778849641966897,61.16
-5.935278825121617,-1.9866512825432991,29.11849284804736,61.17
-5.556045083104052,-1.9215325048122973,28.462803949365043,61.18
-5.20869011011337,-1.89476367182129,27.815075685335717,61.19
-4.893335077835575,-1.9012306249237036,27.17746753217886,61.2
-4.610048234703712,-1.9359068994233695,26.552072096745054,61.21
-4.3582773146683556,-1.9947140592409787,25.94022230461764,61.22
-4.137051437002895,-2.074522930036002,25.342742243399364,61.23
-3.94537891818426,-2.1723110377622783,24.760422200944138,61.24
-3.782059509121351,-2.285963667837899,24.19375514132755,61.25
-3.6457974622107283,-2.4140210447369452,23.643124627925687,61.26
-3.535305534373293,-2.555090919050573,23.108902024199296,61.27
-3.449371679214533,-2.7084702913038607,22.59140689475008,61.28
-3.386823185092218,-2.873937930956229,22.090994563378683,61.29
-3.34650532478232,-3.0512982357454055,21.60802096564475,61.3
-3.327486688825188,-3.2407553700043215,21.14291382776804,61.31
-3.3289730229094547,-3.4429257881048585,20.696243362898926,61.32
-3.350172271995343,-3.658443992726384,20.268589305094675,61.33
-3.3904773278983726,-3.8880549270039944,19.860599885837523,61.34
-3.4495764608077026,-4.132857033798276,19.473245252488613,61.35
-3.52717750612793,-4.394014881434353,19.10756812314266,61.36
-3.6230115564744887,-4.672698377967975,18.76461518962721,61.37
-3.7371076953039286,-4.970174974120187,18.445761263285704,61.38
-3.8696721441831348,-5.28779664721971,18.15282883019582,61.39
-4.020910169077346,-5.626918107282831,17.887668309874638,61.4
-4.191060255538505,-5.988921996564199,17.65215735570261,61.41
-4.380594004917472,-6.375058231379096,17.448857261590856,61.42
-4.590057662538972,-6.786264949741937,17.280951669305708,61.43
-4.819995114003077,-7.223464350409654,17.15164319420623,61.44
-5.0709618057187384,-7.687602117299139,17.064160455079485,61.45
-5.343572638541991,-8.17923658720624,17.02255388585427,61.46
-5.638252991828497,-8.697538300846698,17.031805582055718,61.47
-5.9553850470341185,-9.241484179643987,17.096943834058763,61.48
-6.295353238388323,-9.810054911332761,17.223005295358764,61.49
-6.65842536960399,-10.401480946691597,17.415768515372807,61.5
-7.044019202271021,-11.010875538825246,17.681445117963033,61.51
-7.451317536183183,-11.632641592388003,18.026046329713086,61.52
-7.879507648934274,-12.261169290256326,18.45562425913436,61.53
-8.327185590717772,-12.888730001339322,18.976379550805273,61.54
-8.791159908738033,-13.503154457184834,19.59209226819544,61.55
-9.267942158047202,-14.091716629067129,20.30587594205219,61.56
-9.753946786669031,-14.641331601438802,21.120825121315356,61.57
-10.24367333756935,-15.135058570288926,22.035997320269402,61.58
-10.729871781118836,-15.554339996250427,23.044594049430614,61.59
-11.205228088827367,-15.880708096055601,24.13943330332348,61.6
-11.661442488501384,-16.094588164560086,25.310594915609776,61.61
-12.088269298359785,-16.179186883817568,26.537513379173614,61.62
-12.475614879224826,-16.12067262309946,27.7971008430856,61.63
-12.813150661586329,-15.905337514243824,29.065465229495288,61.64
-13.08983856635268,-15.527160104134849,30.311110237459307,61.65
-13.296937916429693,-14.990897227284414,31.501916320411404,61.66
-13.426048368701125,-14.302168305056773,32.606233124767584,61.67
-13.469783275265167,-13.474858198698808,33.5918426975036,61.68
-13.425591547468862,-12.53452246843057,34.435328503282165,61.69
-13.29193501983384,-11.507486280405406,35.11581330879987,61.7
-13.069635173524377,-10.42495810660258,35.61739587044924,61.71
-12.76471244741585,-9.319399727788207,35.93914236990257,61.72
-12.383904850260532,-8.22201975902418,36.0827667515055,61.73
-11.936213443538465,-7.1631226196259,36.05550020022877,61.74
-11.433321121741267,-6.1640726317590735,35.87468313470174,61.75
-10.886836987877865,-5.243720918125598,35.55861415006767,61.76
-10.30919806320585,-4.416641041760776,35.12753449493421,61.77
-9.712413072842338,-3.687673836014024,34.60272594225878,61.78
-9.10797140324682,-3.059979131158148,34.00489593714823,61.79
-8.50621449995869,-2.5315371274550387,33.352602241639126,61.8
-7.915778950224727,-2.09666319801492,32.66165787029575,61.81
-7.34467138078664,-1.748773561075835,31.94672080575806,61.82
-6.7984757797235,-1.4790804762884455,31.218201206458147,61.83
-6.282033749422209,-1.2785631554327597,30.485312976440035,61.84
-5.798794318209363,-1.1381813744471776,29.75506908347691,61.85
-5.3504996711397705,-1.0495262054474443,29.03186620591223,61.86
-4.938686962711503,-1.0043530675897383,28.31981493056251,61.87
-4.563631298916294,-0.9955708670596285,27.621356028857484,61.88
-4.224866998252475,-1.017112882358933,26.93796091400361,61.89
-3.921697906655169,-1.0633426809724167,26.270828744028996,61.9
-3.652771719024183,-1.1300811323742113,25.62040203233172,61.91
-3.4166237347259085,-1.213532082195722,24.986997364276423,61.92
-3.2115962892318715,-1.3108019477329984,24.370682747161215,61.93
-3.0359089481601784,-1.4198009830150025,23.771392300803605,61.94
-2.8877985261506756,-1.5386931938720787,23.18903053289005,61.95
-2.7655597776167693,-1.6665327404965644,22.623467856089594,61.96
-2.6675040129778247,-1.8025982892845203,22.074586901673637,61.97
-2.5921027980929194,-1.946514549604182,21.542291613285176,61.98
-2.537998360849627,-2.0984581074549356,21.026566749153524,61.99
-2.5038594144135637,-2.258661872971416,20.527409048025902,62.0
-2.4886324096778965,-2.4276468785910486,20.044898658876125,62.01
-2.4914482055511478,-2.6062813679939905,19.579240857436652,62.02
-2.5114534500346686,-2.795452487170177,19.130649136843402,62.03
-2.548081597472724,-2.996203737870308,18.69945314976418,62.04
-2.601003037191018,-3.2098627932523267,18.286192083159236,62.05
-2.669892702343526,-3.4377828878862733,17.891423726496743,62.06
-2.7545885794318985,-3.681361345719697,17.51579170831513,62.07
-2.8552664322605885,-3.942226721765128,17.160326623453663,62.08
-2.972138319250839,-4.222068024816883,16.826153879992347,62.09
-3.105439904489257,-4.522582981272133,16.514409688555364,62.1
-3.2556898063589386,-4.845566884005241,16.226697000610827,62.11
-3.4235915303256745,-5.1928747994985835,15.965117364897575,62.12
-3.6098516338060693,-5.5663625437780295,15.731792103252218,62.13
-3.815210455501546,-5.967936304661864,15.52891529890401,62.14
-4.040633392461698,-6.399347106203006,15.359704118280277,62.15
-4.287175973912496,-6.862051327628415,15.228040501753073,62.16
-4.5558938696394105,-7.357498222180821,15.137814739213978,62.17
-4.84786368086784,-7.887186555987579,15.093030440910695,62.18
-5.164151047551759,-8.4518461601719,15.099143202855789,62.19
-5.505649708373967,-9.05085362181102,15.162603451750302,62.2
-5.8732397005333,-9.683507501005394,15.289880223149469,62.21
-6.267814879735827,-10.349085684077512,15.487619491481507,62.22
-6.689791256896948,-11.044587930439931,15.763979155400394,62.23
-7.138746486969074,-11.763929116432834,16.127444687772634,62.24
-7.614199243205393,-12.500840397447043,16.586439679012912,62.25
-8.115557860358734,-13.248391506970634,17.149789359695145,62.26
-8.640364502372197,-13.993797913020362,17.825391243375925,62.27
-9.184912264819985,-14.72127183306103,18.619196903705962,62.28
-9.74547092602143,-15.41493171418917,19.53715418861383,62.29
-10.316827919877301,-16.054927513186914,20.582909581930455,62.3
-10.890633492662644,-16.616399531709884,21.75163395305478,62.31
-11.458140182389595,-17.0743040122619,23.036943934964686,62.32
-12.00963785096705,-17.402137225296848,24.429892458207927,62.33
-12.53228628254239,-17.574304554644094,25.907306199662035,62.34
-13.012931863821986,-17.568642296622578,27.44110912380904,62.35
-13.437904735221272,-17.36330295492452,29.00129421935467,62.36
-13.792487392703165,-16.947854495135445,30.545872238548025,62.37
-14.064132072167776,-16.32374570211926,32.03106377738672,62.38
